Date Time,CH000,CH001,CH002,CH003,CH004,CH005,CH006,CH007,CH008,CH009
7/18/2021 14:51,-2,-2,-2,1,1,0,********,-*******,-*******,-*******
7/18/2021 14:51,-1,-2,-2,1,1,0,********,-*******,-*******,-*******
7/18/2021 14:51,-1,-2,-2,1,1,0,********,-*******,-*******,-*******
7/18/2021 14:51,-3,-2,-2,1,2,-1,********,-*******,-*******,-146.7
7/18/2021 14:51,-1,-3,-1,1,1,1,********,-*******,-174.1,-94.7
7/18/2021 14:51,-2,-2,-2,1,1,1,********,-*******,-138.8,-68.5
7/18/2021 14:51,-1,-2,-2,1,0,0,********,-*******,-112.6,-34.4
7/18/2021 14:51,-2,-2,-3,1,2,0,********,-*******,-85.9,-29.9
7/18/2021 14:51,-2,-2,-1,1,1,1,********,-*******,-68.9,-15.4
7/18/2021 14:51,-2,-3,-2,1,0,0,********,-*******,-35.7,-6.3
7/18/2021 14:51,-2,-2,-2,1,1,1,********,-*******,-42.2,6.1
7/18/2021 14:51,-2,-3,-2,1,1,0,********,-*******,-35.1,20.9
7/18/2021 14:51,-3,-3,-2,1,1,0,********,-*******,-5.3,25.6
7/18/2021 14:51,-2,-2,-1,1,1,0,********,-*******,-3.7,28.9
7/18/2021 14:51,-2,-3,-1,1,1,0,********,-*******,15,49.8
7/18/2021 14:51,-3,-3,-3,1,1,0,********,-*******,-22.4,13
7/18/2021 14:51,-1,-3,-2,1,0,0,********,-*******,-13.9,21.4
7/18/2021 14:51,2,-14,0,2,0,2,********,-*******,-13.9,17.3
7/18/2021 14:51,20,-64,7,2,0,7,********,-*******,-3.4,30
7/18/2021 14:51,37,-125,12,0,2,11,********,-*******,13.3,30.3
7/18/2021 14:52,42,-142,15,1,1,13,********,-*******,6.4,50.7
7/18/2021 14:52,48,-166,19,0,2,16,********,-*******,30.2,48.2
7/18/2021 14:52,56,-198,21,0,3,20,********,-*******,38.4,71.8
7/18/2021 14:52,67,-239,27,-1,3,24,********,-*******,36.8,60.8
7/18/2021 14:52,74,-271,31,-2,4,28,********,-*******,43.2,71.4
7/18/2021 14:52,82,-305,35,-3,5,31,********,-*******,41.8,63.3
7/18/2021 14:52,90,-342,39,-3,6,34,********,-*******,54.3,65.4
7/18/2021 14:52,96,-375,42,-4,7,39,********,-*******,53.4,74.6
7/18/2021 14:52,101,-411,45,-4,8,43,********,-*******,52,79.9
7/18/2021 14:52,105,-445,50,-5,11,47,********,-*******,49.6,93.1
7/18/2021 14:52,107,-475,53,-6,13,51,********,-*******,51.7,81.9
7/18/2021 14:52,108,-504,56,-6,13,56,********,-*******,73.7,88.1
7/18/2021 14:52,107,-527,59,-6,15,58,********,-*******,75.2,86.2
7/18/2021 14:52,107,-550,62,-8,17,61,********,-*******,73,89.8
7/18/2021 14:52,107,-573,65,-8,19,66,********,-*******,93.1,93
7/18/2021 14:52,107,-600,67,-8,20,69,********,-*******,71.7,99
7/18/2021 14:52,107,-628,71,-9,23,74,********,-*******,76.1,101.5
7/18/2021 14:52,106,-655,74,-10,25,77,********,-*******,65.2,86.1
7/18/2021 14:52,104,-682,77,-10,27,81,********,-*******,87.8,98.2
7/18/2021 14:52,103,-708,82,-10,28,85,********,-*******,88.2,96.8
7/18/2021 14:52,102,-734,85,-10,31,88,********,-*******,92.2,91.7
7/18/2021 14:52,99,-756,88,-11,34,91,********,-*******,95.9,90.1
7/18/2021 14:52,96,-776,91,-11,35,96,********,-*******,82.3,99.2
7/18/2021 14:52,91,-797,94,-11,37,98,********,-*******,76.3,98.7
7/18/2021 14:52,86,-817,98,-10,40,102,********,-*******,90.5,103.5
7/18/2021 14:52,81,-838,102,-10,43,105,********,-*******,86.3,95.2
7/18/2021 14:52,73,-857,105,-10,45,107,********,-*******,78,86.9
7/18/2021 14:52,65,-875,108,-9,48,110,********,-*******,85.4,100.7
7/18/2021 14:52,57,-889,112,-7,50,113,********,-*******,97.1,95.5
7/18/2021 14:52,50,-906,115,-7,52,116,********,-*******,77.8,84.9
7/18/2021 14:52,41,-921,117,-7,55,119,********,-*******,72.7,93.6
7/18/2021 14:52,34,-934,121,-5,57,121,********,-*******,91.9,105.9
7/18/2021 14:52,26,-950,124,-5,58,124,********,-*******,108.1,94.6
7/18/2021 14:52,18,-966,127,-3,60,126,********,-*******,79.5,89.1
7/18/2021 14:52,8,-983,131,-2,63,129,********,-*******,95.6,98.3
7/18/2021 14:52,-1,-1005,135,-1,66,132,********,-*******,95.8,101.5
7/18/2021 14:52,-12,-1020,139,-1,68,135,********,-*******,96,98.4
7/18/2021 14:52,-21,-1037,144,1,71,139,********,-*******,91.7,113.4
7/18/2021 14:52,-31,-1059,147,2,74,143,********,-*******,86.1,99.5
7/18/2021 14:52,-39,-1077,152,3,76,146,********,-*******,108.1,89.6
7/18/2021 14:52,-48,-1096,155,4,80,150,********,-*******,92.9,104
7/18/2021 14:52,-56,-1120,159,5,82,154,********,-*******,94.1,109.3
7/18/2021 14:52,-66,-1141,163,6,85,158,********,-*******,107.8,119.6
7/18/2021 14:52,-75,-1161,167,7,88,161,********,-*******,90,99.3
7/18/2021 14:52,-83,-1183,171,8,90,165,********,-*******,95.6,110.9
7/18/2021 14:52,-93,-1204,175,9,92,169,********,-*******,102.4,116.6
7/18/2021 14:52,-101,-1225,180,10,95,173,********,-*******,96.1,111.9
7/18/2021 14:52,-108,-1247,183,10,97,177,********,-*******,86.7,99.8
7/18/2021 14:52,-116,-1266,188,11,100,182,********,-*******,90.3,116.5
7/18/2021 14:52,-125,-1288,191,13,103,185,********,-*******,95.7,106.5
7/18/2021 14:52,-132,-1310,196,14,107,189,********,-*******,96.5,104.2
7/18/2021 14:52,-142,-1337,201,15,109,195,********,-*******,98,106.7
7/18/2021 14:52,-151,-1360,207,15,112,199,********,-*******,95.6,98
7/18/2021 14:52,-159,-1382,211,17,115,203,********,-*******,106.7,111
7/18/2021 14:52,-169,-1404,216,17,117,208,********,-*******,88.8,120.7
7/18/2021 14:52,-177,-1428,220,20,120,212,********,-*******,107.5,119.1
7/18/2021 14:52,-185,-1449,224,21,123,217,********,-*******,97,105.7
7/18/2021 14:52,-198,-1474,231,23,127,222,********,-*******,98.1,113.7
7/18/2021 14:52,-207,-1498,236,24,130,227,********,-*******,109.4,110.8
