Date Time,CH000,CH001,CH002,CH003,CH004,CH005,CH006,CH007,CH008,CH009
2021/06/29 12:30:11,     -12,      +1,      +2,      +1,+***I***,+***I***,********,********,********,********
2021/06/29 12:30:12,     -11,      +1,      +2,      +1,+***I***,+***I***,********,********,********,********
2021/06/29 12:30:13,     -11,      +1,      +3,      +1,+***I***,+***I***,********,********,********,********
2021/06/29 12:30:14,     -11,      +1,      +3,      +1,+***I***,+***I***,********,********,********,********
2021/06/29 12:30:15,     -12,      +0,      +2,      +2,+***I***,+***I***,********,********,********,********
2021/06/29 12:30:16,     -11,      +1,      +2,      +1,+***I***,+***I***,********,********,********,********
2021/06/29 12:30:17,     -12,      +2,      +2,      +1,+***I***,+***I***,********,********,********,********
2021/06/29 12:30:18,     -11,      +1,      +3,      +1,+***I***,+***I***,********,********,********,********
2021/06/29 12:30:19,     -12,      +1,      +3,      +1,+***I***,+***I***,********,********,********,********
2021/06/29 12:30:20,     -11,      +1,      +2,      +2,+***I***,+***I***,********,********,********,********
2021/06/29 12:30:21,     -12,      +1,      +3,      +2,+***I***,+***I***,********,********,********,********
2021/06/29 12:30:22,     -11,      +1,      +2,      +2,+***I***,+***I***,********,********,********,********
2021/06/29 12:30:23,     -12,      +2,      +3,      +1,+***I***,+***I***,********,********,********,********
2021/06/29 12:30:24,     -12,      +2,      +4,      +2,+***I***,+***I***,********,********,********,********
2021/06/29 12:30:25,     -12,      +2,      +4,      +2,+***I***,+***I***,********,********,********,********
2021/06/29 12:30:26,     -11,      +2,      +4,      +2,+***I***,+***I***,********,********,********,********
2021/06/29 12:30:27,     -12,      +1,      +4,      +2,+***I***,+***I***,********,********,********,********
2021/06/29 12:30:28,     -12,      +3,      +4,      +2,+***I***,+***I***,********,********,********,********
2021/06/29 12:30:29,     -12,      +2,      +4,      +1,+***I***,+***I***,********,********,********,********
2021/06/29 12:30:30,     -13,      +2,      +4,      +2,+***I***,+***I***,********,********,********,********
2021/06/29 12:30:31,     -13,      +2,      +4,      +2,+***I***,+***I***,********,********,********,********
2021/06/29 12:30:32,     -13,      +2,      +4,      +2,+***I***,+***I***,********,********,********,********
2021/06/29 12:30:33,     -13,      +2,      +5,      +2,+***I***,+***I***,********,********,********,********
2021/06/29 12:30:34,     -12,      +2,      +4,      +2,+***I***,+***I***,********,********,********,********
2021/06/29 12:30:35,     -12,      +2,      +4,      +2,+***I***,+***I***,********,********,********,********
2021/06/29 12:30:36,      -5,     -95,      -4,     +29,+***I***,+***I***,********,********,********,********
2021/06/29 12:30:37,      -3,    -103,      -4,     +29,+***I***,+***I***,********,********,********,********
2021/06/29 12:30:38,      -2,    -103,      -4,     +29,+***I***,+***I***,********,********,********,********
2021/06/29 12:30:39,      -2,    -105,      -4,     +30,+***I***,+***I***,********,********,********,********
2021/06/29 12:30:40,      -2,    -115,      -4,     +32,+***I***,+***I***,********,********,********,********
2021/06/29 12:30:41,      -3,    -140,      -6,     +39,+***I***,+***I***,********,********,********,********
2021/06/29 12:30:42,      -9,    -156,      -7,     +43,+***I***,+***I***,********,********,********,********
2021/06/29 12:30:43,     -15,    -168,      -7,     +48,+***I***,+***I***,********,********,********,********
2021/06/29 12:30:44,     -24,    -179,      -8,     +52,+***I***,+***I***,********,********,********,********
2021/06/29 12:30:45,     -36,    -186,      -7,     +56,+***I***,+***I***,********,********,********,********
2021/06/29 12:30:46,     -46,    -194,      -6,     +59,+***I***,+***I***,********,********,********,********
2021/06/29 12:30:47,     -56,    -201,      -6,     +61,+***I***,+***I***,********,********,********,********
2021/06/29 12:30:48,     -63,    -211,      -5,     +64,+***I***,+***I***,********,********,********,********
2021/06/29 12:30:49,     -69,    -223,      -5,     +67,+***I***,+***I***,********,********,********,********
2021/06/29 12:30:50,     -75,    -236,      -5,     +69,+***I***,+***I***,********,********,********,********
2021/06/29 12:30:51,     -81,    -248,      -4,     +73,+***I***,+***I***,********,********,********,********
2021/06/29 12:30:52,     -89,    -257,      -4,     +76,+***I***,+***I***,********,********,********,********
2021/06/29 12:30:53,     -97,    -269,      -2,     +77,+***I***,+***I***,********,********,********,********
2021/06/29 12:30:54,    -105,    -278,      -1,     +80,+***I***,+***I***,********,********,********,********
2021/06/29 12:30:55,    -114,    -287,      +1,     +82,+***I***,+***I***,********,********,********,********
2021/06/29 12:30:56,    -123,    -301,      +2,     +84,+***I***,+***I***,********,********,********,********
2021/06/29 12:30:57,    -134,    -313,      +4,     +86,+***I***,+***I***,********,********,********,********
2021/06/29 12:30:58,    -142,    -321,      +5,     +88,+***I***,+***I***,********,********,********,********
2021/06/29 12:30:59,    -150,    -334,      +6,     +90,+***I***,+***I***,********,********,********,********
2021/06/29 12:31:00,    -161,    -346,      +8,     +92,+***I***,+***I***,********,********,********,********
2021/06/29 12:31:01,    -169,    -355,     +10,     +93,+***I***,+***I***,********,********,********,********
2021/06/29 12:31:02,    -178,    -368,     +11,     +96,+***I***,+***I***,********,********,********,********
2021/06/29 12:31:03,    -189,    -377,     +13,     +98,+***I***,+***I***,********,********,********,********
2021/06/29 12:31:04,    -197,    -386,     +15,    +100,+***I***,+***I***,********,********,********,********
2021/06/29 12:31:05,    -207,    -399,     +16,    +102,+***I***,+***I***,********,********,********,********
2021/06/29 12:31:06,    -217,    -409,     +18,    +103,+***I***,+***I***,********,********,********,********
2021/06/29 12:31:07,    -226,    -421,     +19,    +105,+***I***,+***I***,********,********,********,********
2021/06/29 12:31:08,    -234,    -430,     +20,    +107,+***I***,+***I***,********,********,********,********
2021/06/29 12:31:09,    -246,    -442,     +23,    +109,+***I***,+***I***,********,********,********,********
2021/06/29 12:31:10,    -256,    -453,     +24,    +110,+***I***,+***I***,********,********,********,********
2021/06/29 12:31:11,    -266,    -463,     +26,    +113,+***I***,+***I***,********,********,********,********
2021/06/29 12:31:12,    -276,    -475,     +27,    +115,+***I***,+***I***,********,********,********,********
2021/06/29 12:31:13,    -284,    -488,     +28,    +117,+***I***,+***I***,********,********,********,********
2021/06/29 12:31:14,    -293,    -497,     +30,    +119,+***I***,+***I***,********,********,********,********
2021/06/29 12:31:15,    -301,    -508,     +32,    +120,+***I***,+***I***,********,********,********,********
2021/06/29 12:31:16,    -312,    -522,     +33,    +123,+***I***,+***I***,********,********,********,********
2021/06/29 12:31:17,    -323,    -537,     +35,    +125,+***I***,+***I***,********,********,********,********
2021/06/29 12:31:18,    -331,    -552,     +39,    +126,+***I***,+***I***,********,********,********,********
2021/06/29 12:31:19,    -340,    -562,     +39,    +128,+***I***,+***I***,********,********,********,********
2021/06/29 12:31:20,    -350,    -574,     +40,    +129,+***I***,+***I***,********,********,********,********
2021/06/29 12:31:21,    -355,    -583,     +42,    +131,+***I***,+***I***,********,********,********,********
2021/06/29 12:31:22,    -364,    -597,     +44,    +133,+***I***,+***I***,********,********,********,********
2021/06/29 12:31:23,    -373,    -612,     +45,    +136,+***I***,+***I***,********,********,********,********
2021/06/29 12:31:24,    -382,    -624,     +47,    +138,+***I***,+***I***,********,********,********,********
2021/06/29 12:31:25,    -389,    -639,     +49,    +140,+***I***,+***I***,********,********,********,********
2021/06/29 12:31:26,    -397,    -653,     +50,    +142,+***I***,+***I***,********,********,********,********
2021/06/29 12:31:27,    -403,    -663,     +51,    +143,+***I***,+***I***,********,********,********,********
2021/06/29 12:31:28,    -410,    -678,     +52,    +145,+***I***,+***I***,********,********,********,********
2021/06/29 12:31:29,    -420,    -694,     +54,    +148,+***I***,+***I***,********,********,********,********
2021/06/29 12:31:30,    -427,    -707,     +56,    +150,+***I***,+***I***,********,********,********,********
2021/06/29 12:31:31,    -434,    -719,     +57,    +152,+***I***,+***I***,********,********,********,********
2021/06/29 12:31:32,    -445,    -738,     +61,    +155,+***I***,+***I***,********,********,********,********
2021/06/29 12:31:33,    -450,    -750,     +61,    +158,+***I***,+***I***,********,********,********,********
2021/06/29 12:31:34,    -456,    -762,     +63,    +158,+***I***,+***I***,********,********,********,********
2021/06/29 12:31:35,    -465,    -777,     +65,    +161,+***I***,+***I***,********,********,********,********
2021/06/29 12:31:36,    -471,    -791,     +65,    +163,+***I***,+***I***,********,********,********,********
2021/06/29 12:31:37,    -478,    -806,     +67,    +166,+***I***,+***I***,********,********,********,********
2021/06/29 12:31:38,    -486,    -819,     +68,    +167,+***I***,+***I***,********,********,********,********
2021/06/29 12:31:39,    -492,    -834,     +70,    +170,+***I***,+***I***,********,********,********,********
2021/06/29 12:31:40,    -499,    -850,     +71,    +173,+***I***,+***I***,********,********,********,********
2021/06/29 12:31:41,    -509,    -867,     +73,    +175,+***I***,+***I***,********,********,********,********
2021/06/29 12:31:42,    -514,    -882,     +74,    +179,+***I***,+***I***,********,********,********,********
2021/06/29 12:31:43,    -522,    -897,     +77,    +182,+***I***,+***I***,********,********,********,********
2021/06/29 12:31:44,    -530,    -915,     +78,    +183,+***I***,+***I***,********,********,********,********
2021/06/29 12:31:45,    -536,    -932,     +81,    +188,+***I***,+***I***,********,********,********,********
2021/06/29 12:31:46,    -542,    -948,     +82,    +190,+***I***,+***I***,********,********,********,********
