Test ID:,Date Tested:,Time:,Test Type:,Diameter Avg. (mm):,Cyl. Corr. Factor:,Height (mm):,Age (days):,Weight (kN):,Break Type:,Ramp Rate (MPa/s):,Load at Break (kN):,Stress at Break (MPa):
12,6/9/2021,05:42,Cylinder,100,1,200,0,3.6,3,0.24,281.35,35.83
Sample Time,Load (kN),Stress (MPa),Long. Strain,Trans. Strain,Chan1 Deflection (mm),Chan2 Deflection (mm)
0:0:19.110,6.62785018399887,0.841160388161265,0,0.000885,0,0
0:0:19.211,11.494204614398,1.4616885433622,0,0.000885,0,0
0:0:19.313,15.1906767639974,1.93742679568291,0,0.000885,0,0
0:0:19.410,15.1906767639974,1.93742679568291,0,0.000885,0,0
0:0:19.508,15.8934957767973,2.02705864032305,0,0.000885,0,0
0:0:19.608,16.2449052831972,2.06842718400311,0,0.000885,0,0
0:0:19.709,16.2449052831972,2.06842718400311,0,0.000885,0,0
0:0:19.809,15.7778420151973,2.00637436848302,0,0.000885,0,0
0:0:19.907,15.5999131511974,1.98569009664299,0,0.000885,0,0
0:0:20.004,15.4842593895974,1.97190058208297,0,0.000885,0,0
0:0:20.104,15.4842593895974,1.97190058208297,0,0.000885,0,0
0:0:20.204,15.3686056279974,1.95811106752295,0,0.000885,0,0
0:0:20.305,15.1906767639974,1.93742679568291,0,0.000885,0,0
0:0:20.401,14.8392672575975,1.88916349472284,0,0.000885,0,0
0:0:20.499,14.8392672575975,1.88916349472284,0,0.000885,0,0
0:0:20.597,15.0750230023974,1.91674252384288,0,0.000885,0,0
0:0:20.698,14.8970941383975,1.89605825200285,0,0.000885,0,0
0:0:20.798,14.5456846319975,1.85468970832279,0,0.000885,0,0
0:0:20.899,14.5456846319975,1.85468970832279,0,0.000885,0,0
0:0:20.995,14.5456846319975,1.85468970832279,0,0.000885,0,0
0:0:21.093,14.4878577511975,1.84779495104278,0,0.000885,0,0
0:0:21.193,14.4878577511975,1.84779495104278,0,0.000885,0,0
0:0:21.294,14.4878577511975,1.84779495104278,0,0.000885,0,0
0:0:21.394,14.5456846319975,1.85468970832279,0,0.000885,0,0
0:0:21.491,14.3677557679976,1.82711067920275,0,0.000885,0,0
0:0:21.588,14.3677557679976,1.82711067920275,0,0.000885,0,0
0:0:21.688,14.4878577511975,1.84779495104278,0,0.000885,0,0
0:0:21.789,14.3099288871976,1.82021592192274,0,0.000885,0,0
0:0:21.889,14.1942751255976,1.80642640736272,0,0.000885,0,0
0:0:21.987,14.1942751255976,1.80642640736272,0,0.000885,0,0
0:0:22.084,14.7191652743975,1.87537398016282,0,0.000885,0,0
0:0:22.185,14.1942751255976,1.80642640736272,0,0.000885,0,0
0:0:22.285,14.4878577511975,1.84779495104278,0,0.000885,0,0
0:0:22.385,14.4878577511975,1.84779495104278,0,0.000885,0,0
0:0:22.482,14.3099288871976,1.82021592192274,0,0.000885,0,0
0:0:22.579,14.5456846319975,1.85468970832279,0,0.000885,0,0
