Test ID:,Date Tested:,Time:,Test Type:,Diameter Avg. (mm):,Cyl. Corr. Factor:,Height (mm):,Age (days):,Weight (kN):,Break Type:,Ramp Rate (MPa/s):,Load at Break (kN):,Stress at Break (MPa):
12,7/25/2021,06:46,Cylinder,100,1,200,0,3.5,2,0.33,263.63,33.56
Sample Time,Load (kN),Stress (MPa),Long. Strain,Trans. Strain,Chan1 Deflection (mm),Chan2 Deflection (mm)
0:0:12.152,5.2800390391991,0.668791456161006,0,0.000885,0,0
0:0:12.252,7.56642494159872,0.965266019201452,0,0.000885,0,0
0:0:12.353,10.4978029759982,1.33758291232201,0,0.000885,0,0
0:0:12.452,10.4978029759982,1.33758291232201,0,0.000885,0,0
0:0:12.551,11.907889223198,1.51684660160228,0,0.000885,0,0
0:0:12.648,11.787787239998,1.50305708704226,0,0.000885,0,0
0:0:12.749,11.787787239998,1.50305708704226,0,0.000885,0,0
0:0:12.851,12.0813698655979,1.53753087344231,0,0.000885,0,0
0:0:12.950,11.907889223198,1.51684660160228,0,0.000885,0,0
0:0:13.048,11.672133478398,1.48926757248224,0,0.000885,0,0
0:0:13.146,11.672133478398,1.48926757248224,0,0.000885,0,0
0:0:13.245,11.552031495198,1.46858330064221,0,0.000885,0,0
0:0:13.347,11.2006219887981,1.42721475696215,0,0.000885,0,0
0:0:13.446,11.672133478398,1.48926757248224,0,0.000885,0,0
0:0:13.543,11.672133478398,1.48926757248224,0,0.000885,0,0
0:0:13.640,11.3785508527981,1.44789902880218,0,0.000885,0,0
0:0:13.740,11.2628970911981,1.43410951424216,0,0.000885,0,0
0:0:13.841,11.2628970911981,1.43410951424216,0,0.000885,0,0
0:0:13.940,11.2628970911981,1.43410951424216,0,0.000885,0,0
0:0:14.040,11.2006219887981,1.42721475696215,0,0.000885,0,0
0:0:14.137,11.787787239998,1.50305708704226,0,0.000885,0,0
0:0:14.236,11.787787239998,1.50305708704226,0,0.000885,0,0
0:0:14.337,11.3785508527981,1.44789902880218,0,0.000885,0,0
0:0:14.437,10.8492124823982,1.37895145600207,0,0.000885,0,0
0:0:14.535,10.9070393631981,1.38584621328208,0,0.000885,0,0
0:0:14.633,10.9070393631981,1.38584621328208,0,0.000885,0,0
0:0:14.732,10.9070393631981,1.38584621328208,0,0.000885,0,0
0:0:14.831,11.614306597598,1.47547805792222,0,0.000885,0,0
0:0:14.933,11.965716103998,1.52374135888229,0,0.000885,0,0
0:0:15.034,11.965716103998,1.52374135888229,0,0.000885,0,0
0:0:15.130,11.672133478398,1.48926757248224,0,0.000885,0,0
0:0:15.228,12.023542984798,1.5306361161623,0,0.000885,0,0
0:0:15.329,11.965716103998,1.52374135888229,0,0.000885,0,0
0:0:15.430,11.965716103998,1.52374135888229,0,0.000885,0,0
0:0:15.530,12.8464639807978,1.63405747536246,0,0.000885,0,0
0:0:15.628,12.9042908615978,1.64095223264247,0,0.000885,0,0
0:0:15.724,12.9042908615978,1.64095223264247,0,0.000885,0,0
0:0:15.825,14.2521020063976,1.81332116464273,0,0.000885,0,0
0:0:15.927,14.7191652743975,1.87537398016282,0,0.000885,0,0
0:0:16.027,15.3686056279974,1.95811106752295,0,0.000885,0,0
0:0:16.125,15.3686056279974,1.95811106752295,0,0.000885,0,0
0:0:16.222,16.0714246407973,2.04774291216308,0,0.000885,0,0
