Test ID:,Date Tested:,Time:,Test Type:,Diameter Avg. (mm):,Cyl. Corr. Factor:,Height (mm):,Age (days):,Weight (kN):,Break Type:,Ramp Rate (MPa/s):,Load at Break (kN):,Stress at Break (MPa):
12,6/7/2021,07:06,Cylinder,100,1,200,0,3.6,4,0.24,390.02,49.66
Sample Time,Load (kN),Stress (MPa),Long. Strain,Trans. Strain,Chan1 Deflection (mm),Chan2 Deflection (mm)
0:0:22.031,8.03348820959864,1.02042407744153,0,0.000885,0,0
0:0:22.131,11.672133478398,1.48926757248224,0,0.000885,0,0
0:0:22.232,11.672133478398,1.48926757248224,0,0.000885,0,0
0:0:22.332,14.6613383935975,1.86847922288281,0,0.000885,0,0
0:0:22.433,14.4878577511975,1.84779495104278,0,0.000885,0,0
0:0:22.529,14.3099288871976,1.82021592192274,0,0.000885,0,0
0:0:22.625,14.3099288871976,1.82021592192274,0,0.000885,0,0
0:0:22.729,13.7227636359977,1.74437359184262,0,0.000885,0,0
0:0:22.830,13.6071098743977,1.7305840772826,0,0.000885,0,0
0:0:22.925,13.6071098743977,1.7305840772826,0,0.000885,0,0
0:0:23.034,13.6071098743977,1.7305840772826,0,0.000885,0,0
0:0:23.133,13.3713541295977,1.70300504816256,0,0.000885,0,0
0:0:23.233,13.0777715039978,1.66853126176251,0,0.000885,0,0
0:0:23.335,13.0777715039978,1.66853126176251,0,0.000885,0,0
0:0:23.434,13.0777715039978,1.66853126176251,0,0.000885,0,0
0:0:23.531,12.4906062527979,1.5926889316824,0,0.000885,0,0
0:0:23.639,12.7263619975978,1.62026796080244,0,0.000885,0,0
0:0:23.740,13.0777715039978,1.66853126176251,0,0.000885,0,0
0:0:23.840,13.0777715039978,1.66853126176251,0,0.000885,0,0
0:0:23.940,12.8464639807978,1.63405747536246,0,0.000885,0,0
0:0:24.036,12.8464639807978,1.63405747536246,0,0.000885,0,0
0:0:24.134,12.6685351167978,1.61337320352243,0,0.000885,0,0
0:0:24.234,12.6685351167978,1.61337320352243,0,0.000885,0,0
0:0:24.334,12.7263619975978,1.62026796080244,0,0.000885,0,0
0:0:24.435,12.4327793719979,1.58579417440239,0,0.000885,0,0
0:0:24.531,12.4327793719979,1.58579417440239,0,0.000885,0,0
0:0:24.630,12.4327793719979,1.58579417440239,0,0.000885,0,0
0:0:24.730,12.3171256103979,1.56510990256235,0,0.000885,0,0
0:0:24.831,12.4327793719979,1.58579417440239,0,0.000885,0,0
