Date Time,CH000,CH001,CH002,CH003,CH004,CH005,CH006,CH007,CH008,CH009
2021/06/07 10:35:12,    -226,   -1089,!!!!!!!!,!!!!!!!!,+***I***,********,********,********,********,********
2021/06/07 10:35:13,    -226,   -1089,!!!!!!!!,!!!!!!!!,+***I***,********,********,********,********,********
2021/06/07 10:35:14,    -225,   -1088,!!!!!!!!,!!!!!!!!,+***I***,********,********,********,********,********
2021/06/07 10:35:15,    -226,   -1088,!!!!!!!!,!!!!!!!!,+***I***,********,********,********,********,********
2021/06/07 10:35:16,    -225,   -1088,!!!!!!!!,!!!!!!!!,+***I***,********,********,********,********,********
2021/06/07 10:35:17,    -226,   -1087,!!!!!!!!,!!!!!!!!,+***I***,********,********,********,********,********
2021/06/07 10:35:18,    -225,   -1086,!!!!!!!!,!!!!!!!!,+***I***,********,********,********,********,********
2021/06/07 10:41:00,      +1,      +2,      +0,      +0,      -3,      +3,********,********,********,********
2021/06/07 10:41:01,      +0,      +2,      +2,      +0,      -3,      +4,********,********,********,********
2021/06/07 10:41:02,      +1,      +1,      +6,      +2,      -1,      +4,********,********,********,********
2021/06/07 10:41:03,      +0,      +2,      +5,      +2,      -2,      +4,********,********,********,********
2021/06/07 10:41:04,      +0,      +3,      +3,      +2,      -3,      +1,********,********,********,********
2021/06/07 10:41:05,      -2,      +0,      +2,      +1,      -3,      +1,********,********,********,********
2021/06/07 10:41:06,      -2,      +2,      +4,      +2,      -3,      +0,********,********,********,********
2021/06/07 10:41:07,      -2,      +1,      +4,      +2,      -3,      +1,********,********,********,********
2021/06/07 10:41:08,      -2,      +2,      +4,      +1,      -3,      +1,********,********,********,********
2021/06/07 10:41:09,      -1,      +1,      +3,      +2,      -2,      +1,********,********,********,********
2021/06/07 10:41:10,      -2,      +2,      +4,      +2,      -3,      +1,********,********,********,********
2021/06/07 10:41:11,      -1,      +1,      +4,      +1,      -3,      +1,********,********,********,********
2021/06/07 10:41:12,      -1,      +1,      +4,      +2,      -3,      -1,********,********,********,********
2021/06/07 10:41:13,      -1,      +2,      +3,      +1,      -2,      +1,********,********,********,********
2021/06/07 10:41:14,      -2,      +3,      +3,      +2,      -3,      +0,********,********,********,********
2021/06/07 10:41:15,      -1,      +3,      +3,      +2,      -3,      +0,********,********,********,********
2021/06/07 10:41:16,      -1,      +2,      +3,      +0,      -3,      +0,********,********,********,********
2021/06/07 10:41:17,      -2,      +2,      +3,      +2,      -3,      +0,********,********,********,********
2021/06/07 10:41:18,      -2,      +2,      +4,      +2,      -2,      +0,********,********,********,********
2021/06/07 10:41:19,      -2,      +2,      +4,      +2,      -2,      +0,********,********,********,********
2021/06/07 10:41:20,      -2,      +3,      +4,      +2,      -3,      +0,********,********,********,********
2021/06/07 10:41:21,      -2,      +2,      +4,      +2,      -2,      +0,********,********,********,********
2021/06/07 10:41:22,      -2,      +2,      +4,      +2,      -2,      +0,********,********,********,********
2021/06/07 10:41:23,      -2,      +3,      +3,      +2,      -2,      +0,********,********,********,********
2021/06/07 10:41:24,      -2,      +3,      +5,      +2,      -2,      -2,********,********,********,********
2021/06/07 10:41:25,      -3,      +2,      +4,      +1,      -3,      -1,********,********,********,********
