Seconds,,Force Kn,Stress MPa,Strain 1,2,3,4
99,1,441.3,25.0,-308,-1351,42,46
100,1,445.8,25.2,-312,-1369,44,47
101,1,449.9,25.5,-314,-1386,6,48
102,1,455.3,25.8,-318,-1403,19,49
103,1,459.4,26.0,-323,-1422,41,52
104,1,463.5,26.2,-325,-1439,43,53
105,1,467.9,26.5,-330,-1457,41,55
106,1,473.1,26.8,-334,-1477,25,57
107,1,477.8,27.0,-338,-1496,50,58
108,1,481.7,27.3,-343,-1513,60,61
109,1,485.8,27.5,-348,-1528,32,63
110,1,490.2,27.7,-352,-1548,24,65
111,1,495.0,28.0,-358,-1565,43,67
112,1,499.4,28.3,-364,-1584,46,70
113,1,503.6,28.5,-368,-1600,42,72
114,1,507.7,28.7,-372,-1619,56,73
115,1,512.6,29.0,-380,-1636,46,75
116,1,516.7,29.2,-385,-1653,61,78
117,1,520.8,29.5,-391,-1673,70,79
118,1,526.1,29.8,-398,-1689,76,83
119,1,529.8,30.0,-404,-1705,76,85
120,1,534.1,30.2,-410,-1725,76,87
121,1,538.9,30.5,-418,-1741,64,91
122,1,543.6,30.8,-425,-1758,106,92
123,1,548.3,31.0,-431,-1776,93,95
124,1,553.1,31.3,-438,-1793,98,99
125,1,557.6,31.6,-444,-1811,97,102
126,1,561.9,31.8,-451,-1828,104,104
127,1,565.9,32.0,-458,-1846,110,106
128,1,570.0,32.3,-466,-1865,111,109
129,1,575.2,32.6,-474,-1884,122,111
130,1,579.4,32.8,-483,-1902,113,114
131,1,583.2,33.0,-489,-1919,112,117
132,1,588.3,33.3,-496,-1938,111,120
133,1,592.5,33.5,-504,-1956,124,123
134,1,597.1,33.8,-512,-1975,132,125
135,1,600.9,34.0,-520,-1992,142,128
136,1,604.9,34.2,-528,-2011,147,131
137,1,610.2,34.5,-536,-2031,172,134
138,1,614.2,34.8,-544,-2049,175,137
139,1,618.7,35.0,-552,-2069,176,139
140,1,623.1,35.3,-562,-2086,166,143
141,1,627.2,35.5,-570,-2106,159,146
142,1,632.5,35.8,-578,-2125,167,149
143,1,637.3,36.1,-586,-2144,176,153
144,1,641.6,36.3,-594,-2165,205,156
145,1,645.1,36.5,-604,-2184,183,160
146,1,649.9,36.8,-614,-2205,190,163
147,1,655.2,37.1,-621,-2225,187,166
148,1,659.2,37.3,-632,-2244,204,170
149,1,663.3,37.5,-641,-2264,203,173
150,1,668.3,37.8,-649,-2284,237,177
151,1,672.2,38.0,-658,-2305,259,180
152,1,676.5,38.3,-669,-2328,256,184
153,1,680.5,38.5,-678,-2348,223,188
154,1,685.9,38.8,-688,-2369,276,193
155,1,689.5,39.0,-698,-2392,273,197
156,1,694.7,39.3,-706,-2413,281,201
157,1,699.4,39.6,-715,-2434,292,205
158,1,701.5,39.7,-725,-2457,304,209
159,1,706.9,40.0,-737,-2479,314,214
160,1,711.4,40.3,-745,-2501,323,219
