Test ID:,Date Tested:,Time:,Test Type:,Diameter Avg. (mm):,Cyl. Corr. Factor:,Height (mm):,Age (days):,Weight (kN):,Break Type:,Ramp Rate (MPa/s):,Load at Break (kN):,Stress at Break (MPa):
12,7/3/2021,07:30,Cylinder,100,1,200,0,3.6,3,0.25,613.74,78.15
Sample Time,Load (kN),Stress (MPa),Long. Strain,Trans. Strain,Chan1 Deflection (mm),Chan2 Deflection (mm)
0:0:18.189,5.21776393679911,0.661896698880996,0,0.000885,0,0
0:0:18.289,5.45351968159907,0.696370485281047,0,0.000885,0,0
0:0:18.390,5.45351968159907,0.696370485281047,0,0.000885,0,0
0:0:18.489,5.98285805199898,0.758423300801141,0,0.000885,0,0
0:0:18.595,6.21861379679894,0.792897087201193,0,0.000885,0,0
0:0:18.694,6.62785018399887,0.841160388161265,0,0.000885,0,0
0:0:18.796,7.15718855439878,0.910107960961369,0,0.000885,0,0
0:0:18.897,7.15718855439878,0.910107960961369,0,0.000885,0,0
0:0:18.997,7.80218068639867,0.992845048321493,0,0.000885,0,0
0:0:19.104,8.67848034159853,1.10316116480166,0,0.000885,0,0
0:0:19.202,9.73715708239835,1.24105631040187,0,0.000885,0,0
0:0:19.303,9.73715708239835,1.24105631040187,0,0.000885,0,0
0:0:19.404,10.4978029759982,1.33758291232201,0,0.000885,0,0
0:0:19.503,10.6179049591982,1.35137242688203,0,0.000885,0,0
0:0:19.600,10.6179049591982,1.35137242688203,0,0.000885,0,0
0:0:19.711,11.1427951079981,1.42031999968214,0,0.000885,0,0
0:0:19.812,11.0849682271981,1.41342524240213,0,0.000885,0,0
0:0:19.912,11.1427951079981,1.42031999968214,0,0.000885,0,0
0:0:20.012,10.8492124823982,1.37895145600207,0,0.000885,0,0
0:0:20.110,10.8492124823982,1.37895145600207,0,0.000885,0,0
0:0:20.205,10.9693144655981,1.39963572784211,0,0.000885,0,0
0:0:20.308,11.0271413463981,1.40653048512212,0,0.000885,0,0
0:0:20.409,11.0271413463981,1.40653048512212,0,0.000885,0,0
0:0:20.517,10.7335587207982,1.36516194144205,0,0.000885,0,0
0:0:20.614,10.9070393631981,1.38584621328208,0,0.000885,0,0
0:0:20.712,10.6757318399982,1.35826718416204,0,0.000885,0,0
0:0:20.813,10.6757318399982,1.35826718416204,0,0.000885,0,0
0:0:20.912,10.9070393631981,1.38584621328208,0,0.000885,0,0
0:0:21.013,10.9070393631981,1.38584621328208,0,0.000885,0,0
0:0:21.111,10.8492124823982,1.37895145600207,0,0.000885,0,0
0:0:21.209,10.8492124823982,1.37895145600207,0,0.000885,0,0
0:0:21.310,10.9070393631981,1.38584621328208,0,0.000885,0,0
0:0:21.409,11.0849682271981,1.41342524240213,0,0.000885,0,0
0:0:21.509,11.2006219887981,1.42721475696215,0,0.000885,0,0
0:0:21.615,11.2006219887981,1.42721475696215,0,0.000885,0,0
0:0:21.713,11.4363777335981,1.45479378608219,0,0.000885,0,0
0:0:21.814,11.787787239998,1.50305708704226,0,0.000885,0,0
0:0:21.916,12.0813698655979,1.53753087344231,0,0.000885,0,0
0:0:22.015,12.0813698655979,1.53753087344231,0,0.000885,0,0
0:0:22.113,12.0813698655979,1.53753087344231,0,0.000885,0,0
0:0:22.211,12.2014718487979,1.55132038800233,0,0.000885,0,0
0:0:22.312,12.2014718487979,1.55132038800233,0,0.000885,0,0
0:0:22.413,12.2014718487979,1.55132038800233,0,0.000885,0,0
0:0:22.513,12.7263619975978,1.62026796080244,0,0.000885,0,0
0:0:22.609,13.0777715039978,1.66853126176251,0,0.000885,0,0
0:0:22.716,13.0777715039978,1.66853126176251,0,0.000885,0,0
0:0:22.817,13.4914561127977,1.71679456272258,0,0.000885,0,0
0:0:22.918,13.6071098743977,1.7305840772826,0,0.000885,0,0
0:0:23.019,13.9585193807976,1.77884737824268,0,0.000885,0,0
0:0:23.116,13.9585193807976,1.77884737824268,0,0.000885,0,0
0:0:23.213,14.7191652743975,1.87537398016282,0,0.000885,0,0
0:0:23.314,14.6613383935975,1.86847922288281,0,0.000885,0,0
0:0:23.416,15.4842593895974,1.97190058208297,0,0.000885,0,0
0:0:23.516,15.4842593895974,1.97190058208297,0,0.000885,0,0
0:0:23.618,15.0750230023974,1.91674252384288,0,0.000885,0,0
0:0:23.719,15.8356688959973,2.01326912576303,0,0.000885,0,0
0:0:23.820,16.0135977599973,2.04084815488307,0,0.000885,0,0
0:0:23.921,16.0135977599973,2.04084815488307,0,0.000885,0,0
0:0:24.023,16.3650072663972,2.08221669856313,0,0.000885,0,0
0:0:24.124,16.4806610279972,2.09600621312315,0,0.000885,0,0
0:0:24.226,17.0678262791971,2.17184854320327,0,0.000885,0,0
0:0:24.324,17.0678262791971,2.17184854320327,0,0.000885,0,0
0:0:24.425,17.0678262791971,2.17184854320327,0,0.000885,0,0
0:0:24.527,17.534889547197,2.23390135872336,0,0.000885,0,0
0:0:24.628,17.886299053597,2.27526990240342,0,0.000885,0,0
0:0:24.728,17.886299053597,2.27526990240342,0,0.000885,0,0
0:0:24.830,18.6513931687968,2.37179650432357,0,0.000885,0,0
0:0:24.930,18.5357394071969,2.35800698976355,0,0.000885,0,0
0:0:25.032,19.4120390623967,2.47521786352372,0,0.000885,0,0
0:0:25.129,19.4120390623967,2.47521786352372,0,0.000885,0,0
0:0:25.227,19.2963853007967,2.45453359168369,0,0.000885,0,0
0:0:25.328,19.7634485687966,2.51658640720379,0,0.000885,0,0
0:0:25.429,20.1771331775966,2.57174446544387,0,0.000885,0,0
0:0:25.530,20.1771331775966,2.57174446544387,0,0.000885,0,0
0:0:25.627,20.2927869391966,2.58553398000389,0,0.000885,0,0
0:0:25.724,20.9956059519964,2.67516582464402,0,0.000885,0,0
0:0:25.824,20.9956059519964,2.67516582464402,0,0.000885,0,0
0:0:25.925,21.0534328327964,2.68206058192403,0,0.000885,0,0
0:0:26.027,21.2891885775964,2.70963961104408,0,0.000885,0,0
0:0:26.125,21.5827712031963,2.75100815472414,0,0.000885,0,0
0:0:26.222,21.5827712031963,2.75100815472414,0,0.000885,0,0
0:0:26.323,21.5827712031963,2.75100815472414,0,0.000885,0,0
0:0:26.425,22.0542826927963,2.80616621296422,0,0.000885,0,0
0:0:26.525,22.1121095735962,2.81306097024423,0,0.000885,0,0
0:0:26.622,22.1121095735962,2.81306097024423,0,0.000885,0,0
0:0:26.719,22.4056921991962,2.85442951392429,0,0.000885,0,0
0:0:26.819,22.4635190799962,2.8613242712043,0,0.000885,0,0
0:0:26.920,22.7571017055961,2.89579805760436,0,0.000885,0,0
0:0:27.021,22.7571017055961,2.89579805760436,0,0.000885,0,0
