Test ID:,Date Tested:,Time:,Test Type:,Diameter Avg. (mm):,Cyl. Corr. Factor:,Height (mm):,Age (days):,Weight (kN):,Break Type:,Ramp Rate (MPa/s):,Load at Break (kN):,Stress at Break (MPa):
12,6/29/2021,06:04,Cylinder,100,1,200,0,3.6,3,0.24,336.95,42.9
Sample Time,Load (kN),Stress (MPa),Long. Strain,Trans. Strain,Chan1 Deflection (mm),Chan2 Deflection (mm)
0:0:21.058,6.15633869439895,0.786002329921182,0,0.000885,0,0
0:0:21.159,8.79858232479851,1.11695067936168,0,0.000885,0,0
0:0:21.259,11.729960359198,1.49616232976225,0,0.000885,0,0
0:0:21.359,11.729960359198,1.49616232976225,0,0.000885,0,0
0:0:21.459,14.3677557679976,1.82711067920275,0,0.000885,0,0
0:0:21.557,14.0741731423976,1.7926368928027,0,0.000885,0,0
0:0:21.657,14.0741731423976,1.7926368928027,0,0.000885,0,0
0:0:21.756,14.0163462615976,1.78574213552269,0,0.000885,0,0
0:0:21.857,13.7227636359977,1.74437359184262,0,0.000885,0,0
0:0:21.954,13.5492829935977,1.72368932000259,0,0.000885,0,0
0:0:22.052,13.5492829935977,1.72368932000259,0,0.000885,0,0
0:0:22.151,13.6071098743977,1.7305840772826,0,0.000885,0,0
0:0:22.253,13.3713541295977,1.70300504816256,0,0.000885,0,0
0:0:22.352,13.3713541295977,1.70300504816256,0,0.000885,0,0
0:0:22.451,13.3713541295977,1.70300504816256,0,0.000885,0,0
0:0:22.549,13.0199446231978,1.65474174720249,0,0.000885,0,0
0:0:22.648,12.6107082359979,1.60647844624242,0,0.000885,0,0
0:0:22.748,12.8464639807978,1.63405747536246,0,0.000885,0,0
0:0:22.848,12.8464639807978,1.63405747536246,0,0.000885,0,0
0:0:22.946,12.7263619975978,1.62026796080244,0,0.000885,0,0
0:0:23.043,12.9042908615978,1.64095223264247,0,0.000885,0,0
0:0:23.142,12.9042908615978,1.64095223264247,0,0.000885,0,0
0:0:23.243,12.6685351167978,1.61337320352243,0,0.000885,0,0
0:0:23.342,12.5528813551979,1.59958368896241,0,0.000885,0,0
0:0:23.442,12.5528813551979,1.59958368896241,0,0.000885,0,0
0:0:23.540,12.5528813551979,1.59958368896241,0,0.000885,0,0
0:0:23.637,12.5528813551979,1.59958368896241,0,0.000885,0,0
0:0:23.738,12.6685351167978,1.61337320352243,0,0.000885,0,0
0:0:23.840,12.7263619975978,1.62026796080244,0,0.000885,0,0
0:0:23.938,12.7263619975978,1.62026796080244,0,0.000885,0,0
0:0:24.035,12.6685351167978,1.61337320352243,0,0.000885,0,0
0:0:24.133,12.6107082359979,1.60647844624242,0,0.000885,0,0
0:0:24.233,12.4327793719979,1.58579417440239,0,0.000885,0,0
0:0:24.334,12.4327793719979,1.58579417440239,0,0.000885,0,0
0:0:24.435,12.4327793719979,1.58579417440239,0,0.000885,0,0
0:0:24.531,12.6685351167978,1.61337320352243,0,0.000885,0,0
0:0:24.628,12.6685351167978,1.61337320352243,0,0.000885,0,0
0:0:24.728,12.6685351167978,1.61337320352243,0,0.000885,0,0
0:0:24.830,12.6107082359979,1.60647844624242,0,0.000885,0,0
0:0:24.930,12.9621177423978,1.64784698992248,0,0.000885,0,0
0:0:25.028,12.9621177423978,1.64784698992248,0,0.000885,0,0
0:0:25.124,12.8464639807978,1.63405747536246,0,0.000885,0,0
0:0:25.224,12.7841888783978,1.62716271808245,0,0.000885,0,0
0:0:25.324,12.8464639807978,1.63405747536246,0,0.000885,0,0
0:0:25.425,12.8464639807978,1.63405747536246,0,0.000885,0,0
0:0:25.525,13.9585193807976,1.77884737824268,0,0.000885,0,0
0:0:25.622,13.6649367551977,1.73747883456261,0,0.000885,0,0
0:0:25.719,13.6649367551977,1.73747883456261,0,0.000885,0,0
0:0:25.821,13.3135272487977,1.69611029088255,0,0.000885,0,0
0:0:25.921,13.3713541295977,1.70300504816256,0,0.000885,0,0
